"zpUaS","efdml","vNqhQ","llwez","CVFLD","DwRsZ","gUGeA","jdTsK","CvVUB","vBztq","NvwZr","bGZSr","capGG","irUbB","AlueB","SSAtf","fnPwi","pHZXE","qzjdp","NDapo","GkCZP","wMcue","NkQeJ","uAkMU","Gpgqk","tGwHt","LEoAr","tFErF","lRGmA","iaDHy","ScDgC","IfPOJ","lvKEs","PwEPl","UUZzB","vHeBx","AoZbU"
"B","F","D","A","B","B","B","E","A","A","B","B","A","B",NA,NA,"A",NA,"A",NA,"B","F","A",NA,"C","A","B","D","B","B","A",NA,"D","D","C","A","B"
"A","A","E","C","C","B","D","A","B","A","E","C","E","B","B","C","B","A","A",NA,"B","B","A",NA,"C","A","B","E","A",NA,"A",NA,"A","E","B","F","B"
"A","F","D","B","C","A","D","A","A","C","B","A","A","B",NA,"C","A","B","A","C",NA,"C","A",NA,"A","A","B",NA,"A","F","B","E","A","E","B","D","B"
"C","F","E","A","B","B","C","C","B","B",NA,"C","A","B",NA,"B","B","A","A",NA,"D","C","A","C","D","A","A","E","D",NA,"A","C",NA,"C","C","F","B"
"B","C","D","C","B","C",NA,"A","A","C","A","A",NA,"B",NA,NA,"B",NA,NA,NA,NA,"F","A",NA,NA,NA,"B",NA,"B",NA,"B","C","A","F","B","D","A"
NA,"A","D","A","B","B","D","D","E","C","A","C",NA,"B",NA,NA,"A",NA,NA,"A",NA,"D","A","C",NA,"A","B",NA,"A","D","A","B",NA,"D","B","F","A"
"B","A","D","A","B","C","D","E","A","A","D","B",NA,"B",NA,"C","A",NA,"A",NA,"B","D","A",NA,"A","A","B","E","D","E","B","E","B","D","B","D","A"
NA,"F","E","A","B","A","C","E","A","B","B","C","D","B",NA,"B","B","B","A",NA,"D","E","A","D","D","A","B","E","A",NA,"B","A","A","C","A","E","B"
"C","F","E","A","B","B",NA,"D","D","C","D","C","A","A","A","C","A","B","A","E",NA,"A","A","C",NA,"A","A","B","A","D","A","B",NA,"F","C","F","B"
NA,"D","D","C","A","A","D","A","A","A","B","C",NA,"A","A",NA,"A",NA,NA,"B",NA,"D","A",NA,NA,"A","B",NA,"B",NA,"B","E","E","F","B","C","B"
NA,"F","D","B","C","C",NA,"C","A","B","E","A",NA,"B",NA,NA,"C",NA,NA,NA,NA,"D","A",NA,NA,"A","B","F","A","F","A",NA,"E","A","B","B","A"
"B","F","B","C","C","B","C","D","B","C","B","C","A","A","B","B","C","A",NA,"C","B","C","A","D","C","A","A","F","A",NA,"A","B",NA,"D","B","B","B"
"C","F","D","B","C","C","A","C","A","B","A","B","C","B","A",NA,"C",NA,"B","C","B","A","A","C","A",NA,"A",NA,"C","D","B","C","E","B","C","E","B"
"C","A","D","B","C","B","D","A","B","A","E","A","A","B","B","A","A","B",NA,"E","B","A","B","C","D","A","B","F","B","D","B","B","B","D","B","C","B"
NA,"A","D","A","C","C","C","A","A","B","E","C","A","B",NA,"C","C",NA,"A",NA,NA,"D","A","D",NA,"A","B","F","A","E","A",NA,"D","B","C","F","A"
"B","A","D","A","C","B","C","B","B","A","A","B",NA,"B",NA,"C","A",NA,"A",NA,NA,"F","A",NA,"D","A","B",NA,"C","D","B","C","A","C","B","B","B"
"B","A","D","B","C","B","E","A","D","B",NA,"C",NA,"A","A",NA,"C",NA,"B","C","D","B","A","D","C","B","A",NA,"C","C","B","D","E","A","B","B","B"
"A","A","B","B","B","C","E","A","A","A","A","C",NA,"B","A","C","B","B","A","C",NA,"C","A",NA,"A","A","B","B","A",NA,"A",NA,"D","B","C","A","A"
"C","C","E","B","B","C",NA,"A","B","C","A","A","C","A","B","C","A","A",NA,"E","B","A","A","C","C",NA,"A","F","C","D","B","A","D","F","B","A","A"
"B","F","D","B","C","C","A","E",NA,"C","A","C","A","A","B","B","C",NA,"A","E","B","E","A","D","C",NA,"A",NA,"D","E","A",NA,NA,"C","C","B","B"
"B","F","E","C","C","B","C","C",NA,"A","C","B","E","A","B",NA,"B","B","A","B","B","B","A",NA,"A","A","B","F","D",NA,"B","A","B","F","B","D","B"
"B","A","D","A","B","B","D","D",NA,"A","B","C",NA,"B",NA,"B","A","B","A",NA,"B","B","A","D","A","A","B","F","D","D","A",NA,NA,"A","B","A","B"
"B","A","D","B","C","C","C","E","A","C","D","C",NA,"B",NA,"B","A","A","A",NA,NA,"E","A","D","C",NA,"B","B","A","B","B","B","E","E","B","D","A"
NA,"F","D","A","C","B","C","D","A","B",NA,"A",NA,"B","A","C","A","B","A",NA,NA,"A","A","C",NA,NA,"B","E","B","D","A","B",NA,"B","A","F","B"
NA,"C","B","B","B","A","E","C","D","C","D","A",NA,"A","A",NA,"A",NA,NA,"C",NA,"D","A","C","A","B","B","A","C","C","A","D",NA,"F","A","B","B"
"A","F","D","B","C","A","E","C","B","C","A","B","B","B",NA,"A","C","B","A",NA,NA,"F","A",NA,NA,"B","B",NA,"A","F","B","B","A","E","C","F","B"
"A","F","D","B","C","A","C","C",NA,"C",NA,"A","C","B",NA,"B","B","B",NA,NA,NA,"F","A","D","A","A","B",NA,"D","E","B","C",NA,"B","B","B","A"
"B","F","D","A","B","C",NA,"D","B","C","E","A","C","B",NA,"A","A","B",NA,NA,"A","B","A",NA,"D","A","B","E","B",NA,"B","A","B","F","A","E","B"
"B","F","D","A","C","C",NA,"D","D","C","A","A","A","B","A","B","B","B",NA,NA,"B","E","A","D","D","A","B","A","B",NA,"B","B","E","F","C","C","A"
"B","C","B","B","B","C","C","C","F","C",NA,"A",NA,"A","B","B","A",NA,NA,"B",NA,"E","A",NA,NA,"A","B","B","D","D","A",NA,NA,"D","C","D","B"
"B","F","B","A","B","A","E","B","A","A","C","B","D","B",NA,NA,"B","A","A",NA,"B","D","A","D","C","A","A","B","B",NA,"A",NA,NA,"E","B","C","B"
"A","F","B","A","C","C","A","C","B","B","D","B","A","B",NA,"B","C","B","A",NA,"B","F","A","C","C",NA,"A",NA,"A","F","B","B","B","D","B","C","A"
"C","F","D","A","B","B","C","E","A","C",NA,"B","E","B",NA,"B","A","B","A","A","D","F","A","C",NA,"A","A","B","C","B","A",NA,"E","D","C","A","A"
NA,"D","E","A","C","B","C","C","A","C","C","B","C","B","B",NA,"B",NA,"A",NA,"B","D","A","D",NA,"B","A","A","B",NA,"A","E","E","C","B","A","A"
"B","F","E","C","B","A","B","D",NA,"A","D","A",NA,"B",NA,"B","C",NA,NA,NA,"D","D","A","D","A","B","A","A","D","F","A","B","E","D","C","F","A"
"B","A","D","A","B","B","D","B",NA,"B","A","C",NA,"B","B",NA,"A",NA,"A",NA,NA,"D","A",NA,NA,"B","B",NA,"A","F","A",NA,"E","C","C","D","A"
"A","A","D","C","A","A",NA,"E","A","C","E","B","D","B","B","C","C","A",NA,"E",NA,"B","A",NA,"C","A","B",NA,"A","E","B","B","A","F","C","B","B"
"B","F","D","B","C","B","C","D",NA,"A","B","A",NA,"B","A","B","B","A",NA,NA,NA,"B","A","D","C","B","B","B","D",NA,"A","B","A","D","B","B","B"
"A","F","D","A","C","C",NA,"D",NA,"C","E","A","A","B","A","C","B","B","A","B",NA,"C","A","D",NA,"A","B",NA,"B",NA,"A",NA,"B","F","C","C","B"
"A","C","D","B","B","C","D","D","A","B","E","C",NA,"B",NA,"C","A","B","B",NA,NA,"B","A",NA,"C","A","B",NA,"A","F","B","B","E","D","B","C","B"
"C","D","D","A","B","C","C","E",NA,"C","A","C",NA,"B",NA,"B","B","A","A",NA,"B","C","A",NA,NA,"A","B",NA,"D",NA,"B","B","E","D","C","B","A"
"C","F","D","B","B","C","C","D","B","A","D","A","A","B","A","C","B","A","A",NA,"B","A","A","D","C","B","A",NA,"A","F","A",NA,NA,"C","B","A","A"
"A","F","D","A","B","B",NA,"D","B","B","A","C",NA,"A","A","B","C","B",NA,"E","E","E","B","D",NA,"A","B","B","B","D","B","E","B","E","B","B","B"
"C","A","D","A","C","C","C","A","D","A","B","A","A","B",NA,"C","C",NA,NA,NA,NA,"A","A",NA,"C",NA,"B","E","B","D","B","E",NA,"D","C","B","A"
"B","C","D","C","B","A","B","C","B","A","B","B","A","B",NA,NA,"B","B","B",NA,"B","F","A","D","C","A","A",NA,"C",NA,"B","D","A","A","C","C","A"
NA,"A","D","B","C","B","D","B",NA,"A","E","C",NA,"B",NA,NA,"A",NA,"A",NA,"B","D","A","C","C","A","A","E","C","C","A","A","E","A","B","D","A"
"B","A","D","A","B","B",NA,"E","A","B","D","B","C","B",NA,NA,"A","A","A","E",NA,"F","A","D",NA,"B","A","A","A","E","A","B",NA,"C","B","B","B"
"B","F","B","B","C","A","C","D","B","C",NA,"A","A","A","A","C","A","A",NA,"C","B","E","A","D","C","A","A",NA,"D","D","A",NA,NA,"B","B","B","B"
"B","F","E","B","C","C","C","C",NA,"A",NA,"A","C","B",NA,"B","B","B","A","D","B","F","A","D",NA,NA,"A",NA,"D","F","A","C","E","F","A","A","B"
"B","A","B","C","C","B",NA,"A","B","B","B","C","C","B",NA,NA,"B",NA,"A",NA,NA,"D","A",NA,"A","A","B","F","D","E","A",NA,"E","F","B","A","B"
NA,"A","D","A","C","C",NA,"A","A","A",NA,"A","A","B","A","C","A","A","A","D","B","A","A","D",NA,"A","A",NA,"B","B","B","D","E","C","A","B","B"
"B","A","D","A","B","B","C","E","B","A","D","B",NA,"B","C","C","C","B","A",NA,NA,"C","A",NA,NA,"B","B",NA,"A","E","B","E","D","B","A","C","A"
NA,"F","D","A","B","B","C","A","A","B",NA,"A","A","B",NA,"B","C","A",NA,"C","D","C","A",NA,NA,"B","A",NA,"D","E","A","C","B","A","A","A","B"
"B","F","D","B","C","A","A","E","B","C",NA,"A","A","B","B","B","C","B",NA,NA,NA,"B","A","D","C","B","A","A","B","D","B","E","E","E","C","B","B"
"A","A","D","A","C","A","D","E","E","B","D","B","E","B","A","C","B","B","A",NA,"D","A","A",NA,NA,"B","A",NA,"A","B","B","B","E","A","B","C","A"
"B","F","D","A","B","C","C","E","A","A",NA,"A",NA,"B","A","A","B","A",NA,NA,NA,"A","A",NA,NA,"A","B",NA,"C",NA,"B","E","A","C","B","C","B"
"C","A","B","C","B","C","A","A","A","A","D","C",NA,"A","B","C","A","B","A","C","D","A","A","A","A",NA,"B","D","A","E","A",NA,NA,"A","C","A","A"
"B","F","D","C","C","A",NA,"C","A","C",NA,"A",NA,"B",NA,"B","B","B",NA,NA,"B","E","A","B","A","A","A",NA,"B","F","B","A","E","A","B","C","B"
"B","A","E","B","B","C","C","E",NA,"B","C","C",NA,"B",NA,"C","A","B","B","C",NA,"F","A","D","B",NA,"B","F","A","D","B","E","E","B","C","C","A"
"A","A","D","B","C","C","C","B",NA,"B","B","B","A","A","A","C","B","B","A","B","D","C","A","D",NA,NA,"A",NA,"D",NA,"B",NA,NA,"C","C","F","B"
"B","A","E","A","C","A","B","C",NA,"A",NA,"A","A","B","A","C","A","A",NA,"B","B","E","A",NA,"C","A","A","B","D","E","A",NA,NA,"A","C","C","A"
"A","F","D","B","B","B","D","D","A","B","E","C",NA,"B",NA,"A","B",NA,"A",NA,"B","F","A",NA,NA,"A","B","C","B",NA,"A",NA,NA,"E","B","A","B"
"B","F","D","A","B","C","D","C","D","A","A","C",NA,"B",NA,"B","A","B","A","B","D","B","A",NA,NA,"A","B",NA,"B","D","A","B","D","D","C","F","B"
NA,"E","E","C","B","B",NA,"D",NA,"B",NA,"B","C","A","B",NA,"A","B","A","B","C","E","A","D","A","A","A","E","D","E","B","D","B","F","B","D","B"
"B","F","E","A","B","A","C","C","B","B","A","C",NA,"B","A","C","B","A","A","A",NA,"A","A","D",NA,"A","B","B","C",NA,"A","E","B","E","A","A","B"
"B","A","D","A","A","B","C","C","B","C","E","C",NA,"B",NA,NA,"C","A","A","E",NA,"D","A","D",NA,"A","B","E","A","E","A","B","E","A","B","A","B"
"B","F","D","A","C","B","D","E","A","C",NA,"C","C","B",NA,"B","A","A","A","B","B","A","A","D",NA,NA,"A","B","C","D","A",NA,NA,"A","B","A","A"
NA,"D","D","C","A","B","C","E",NA,"B","E","B","A","B",NA,"C","C","B","A",NA,"D","F","A","B","C","B","A",NA,"D","E","B","C","B","B","C","E","B"
"B","F","A","A","B","C","E","C",NA,"B","B","C","F","B",NA,"C","B","B","B","E",NA,"F","A","D","D","A","B","E","D",NA,"B","B","B","C","B","C","A"
"A","F","D","B","B","A","C","B","D","A","D","B","C","B","A","B","B","A","A","A","B","B","A","D","C",NA,"A",NA,"D","C","A",NA,"A","C","B","C","B"
"A","F","D","B","B","C","C","E","A","A","A","C",NA,"A","B","C","A","B","B","B",NA,"C","B",NA,"C","A","B",NA,"D","D","A",NA,NA,"B","A","A","B"
"B","F","D","A","B","C","A","A","D","B",NA,"A","A","B","B","C","C",NA,NA,"B",NA,"D","A","B",NA,NA,"A","E","B","F","B",NA,"D","C","B","D","B"
"A","A","D","A","C","B","A","D","A","A","B","C",NA,"B",NA,"B","A","A","A",NA,NA,"E","A",NA,"D","A","B",NA,"A","C","A","B","D","D","B","B","B"
"C","F","E","B","A","C","C","D",NA,"B","A","B",NA,"B","A","C","C","B","A",NA,"D","D","A","C","C","A","A","E","D","D","B","B","E","E","A","C","A"
"A","A","E","C","C","B","A","A","B","B","D","B","F","B",NA,"C","C","B",NA,"E","B","C","A","D","B",NA,"A","A","A",NA,"B","A","E","C","C","D","B"
"C","A","D","A","C","C","A","A","B","C",NA,"A","B","B",NA,"B","A","B","B",NA,NA,"F","A","C",NA,"B","B",NA,"B","B","A",NA,NA,"D","C","A","B"
"B","F","E","B","C","B",NA,"C","E","C","D","C","D","B","A","B","B",NA,"A","E",NA,"B","A",NA,"C","A","B","E","A",NA,"A","C",NA,"C","C","A","B"
NA,"F","D","A","B","B","E","C",NA,"A","F","A",NA,"A","A",NA,"A","B",NA,"E",NA,"C","A","D","C","A","B","B","D","E","B","E","D","B","A","C","B"
"A","F","D","C","A","B","D","B",NA,"B",NA,"A","E","B",NA,NA,"A","B","B",NA,"B","B","A","B","A","A","A",NA,"D","E","A","B",NA,"A","C","A","B"
NA,"F","D","B","B","C","A","A","D","A","D","C",NA,"B","A","C","B","B","A","D","A","B","B",NA,"D",NA,"B","E","A","C","A",NA,NA,"A","B","A","A"
"A","F","D","B","B","C","C","C","A","B","C","B","C","A","A","C","C",NA,"A","A","B","C","A","D","C","A","B","F","D","D","A",NA,"E","D","B","D","A"
"A","F","D","C","B","A","C","E","B","A",NA,"A",NA,"A","A","C","C","B","A","A","D","C","A",NA,"A","A","B",NA,"B","D","A",NA,NA,"D","C","F","B"
"A","F","E","B","C","C","C","C","A","C","E","C",NA,"B","A","B","B","A","B",NA,NA,"F","A",NA,"A","A","B","F","A","E","B","B","E","D","B","E","A"
"B","B","D","A","A","A",NA,"E","B","B",NA,"A",NA,"A","A","B","C","A",NA,"B","B","A","A","D",NA,NA,"B",NA,"B","F","A",NA,"E","C","A","B","B"
"B","F","E","C","C","B","E","D","B","B",NA,"C",NA,"A","A","C","C","A","A","E","B","F","A",NA,"A","A","B","B","A",NA,"A",NA,"A","C","A","A","B"
"B","F","E","A","A","A","A","A","B","B",NA,"A","B","A","A","C","B","B",NA,"E","B","F","A","D","C","A","A","B","C",NA,"A",NA,NA,"C","B","A","B"
"B","F","D","B","B","B","C","E",NA,"B",NA,"A","F","B","A","C","B","B",NA,NA,"B","B","A","D","A","B","A",NA,"D","E","A",NA,NA,"A","B","B","B"
"B","C","D","C","B","A","E","D","B","A","D","B","A","B","A","B","C","A","B","E","B","A","A",NA,"C","B","B",NA,"D",NA,"B","B","D","D","C","D","B"
"C","E","D","B","C","C",NA,"E","A","A","B","A","E","B",NA,"B","B","B",NA,NA,"B","A","A","C","B",NA,"A",NA,"A","F","B","E","E","F","A","B","A"
"C","F","D","A","C","A","D","D","A","A","E","B","A","B",NA,"C","A","B","A",NA,"D","B","A","B",NA,"A","A",NA,"C","C","A",NA,NA,"C","B","D","B"
NA,"A","D","C","C","B","C","A","A","A","A","B","A","B","B",NA,"A",NA,"A",NA,NA,"D","A","D","A","A","B",NA,"B","D","A","D",NA,"D","B","A","B"
"C","A","D","A","B","C","C","A","A","A","B","C",NA,"B",NA,"B","B","A","A","D",NA,"B","A","C",NA,NA,"B","B","D",NA,"A",NA,NA,"E","A","A","B"
NA,"A","D","C","B","A","C","B","A","A","D","B","B","B",NA,"B","A","A","A",NA,NA,"E","A","C","A","A","B","B","B","D","A",NA,NA,"C","B","A","A"
"C","A","D","A","C","C",NA,"E","A","A",NA,"A",NA,"B",NA,NA,"B","B","A",NA,"D","D","A","C",NA,NA,"B","E","A",NA,"A",NA,NA,"F","A","A","A"
"A","D","D","A","B","C","C","E",NA,"B","B","B",NA,"B","A","C","B","A","A","D",NA,"C","A",NA,NA,"A","B","B","D","E","B","B","B","B","B","E","B"
"C","C","E","C","B","B","A","D","B","B","F","C","E","B","A","B","A",NA,"A","E","B","B","A","C","D","A","A","B","B","B","A","B","A","C","C","A","B"
"B","F","D","C","B","B","E","C","B","B","A","A",NA,"B",NA,"B","A","B","A",NA,NA,"E","A","D","A","A","B","E","A",NA,"B","A","E","B","C","C","B"
"B","A","D","B","B","A",NA,"D","B","C","E","C","E","B",NA,"B","A","A","A",NA,"B","C","A","A","C","B","A",NA,"B","B","A","B","B","E","B","A","B"
NA,"F","B","C","B","A","D","D","B","A","E","B",NA,"B","B","C","B",NA,NA,"B","D","D","A","D","A","A","B","F","A","B","A",NA,"C","A","B","A","B"
"A","F","E","A","B","A","D","D","B","B","D","A",NA,"B",NA,"A","A","A",NA,NA,"B","E","A","C",NA,"A","B","E","A","D","B","B","E","B","B","B","B"
"B","D","D","B","B","A","C","C","D","C","E","C",NA,"B","A","C","A","B","A",NA,"B","D","A","D","D","A","B","F","D","D","A",NA,NA,"B","C","E","B"
NA,"F","D","C","B","A","D","D","B","A","B","B",NA,"B",NA,"C","A",NA,"A",NA,"B","D","A","D",NA,"A","B","E","B","E","B","D","A","D","B","B","B"
"C","D","D","C","B","C","D","A","A","B",NA,"A","C","B",NA,NA,"C",NA,"A","E","B","D","A","A","C",NA,"B",NA,"A","B","A","B",NA,"C","B","A","A"
"B","D","D","C","C","B","C","B","B","C",NA,"A",NA,"B",NA,NA,"C","A",NA,NA,"B","E","B","D","C","A","A","E","A","E","B","B","A","B","B","C","A"
"B","F","D","B","C","A","E","D","A","C","B","B","A","B",NA,"B","B","B","A","E","D","E","A",NA,"C","A","A","E","C",NA,"B",NA,"E","B","A","A","B"
NA,"F","E","A","B","C","D","D","A","B",NA,"A",NA,"B","C","C","C","A","A",NA,"B","B","A","D",NA,NA,"A","B","C","C","B","E","B","D","B","C","B"
NA,"F","D","A","B","C",NA,"A",NA,"B","A","B",NA,"A","A","C","B","B","B","C","B","F","A",NA,NA,NA,"B",NA,"D",NA,"B","D","D","F","A","B","B"
"B","A","E","A","C","C","E","A","B","A","E","B",NA,"B",NA,"C","C","B","A",NA,NA,"F","A","D",NA,"A","B","E","A","E","A","E",NA,"B","B","A","A"
NA,"F","D","A","C","B","C","D","A","B","A","B","F","B","A",NA,"C",NA,"A","E",NA,"D","A","D","D","B","B","B","A","F","A",NA,NA,"B","C","B","A"
"C","F","B","B","B","B",NA,"D","B","B","E","C","E","B","A","B","A","B","A","E","B","C","A","C","C","A","A","E","B","D","B","C","B","F","B","C","B"
"B","A","B","A","B","B","E","E","B","C","D","C","C","B","A","C","A","A","A",NA,"B","C","A",NA,NA,"A","B","B","A","F","A","D",NA,"B","B","B","A"
"B","A","D","B","C","C","D","E",NA,"B","F","C","A","B",NA,"B","B","B","A","C",NA,"E","A","D",NA,NA,"A","B","B","D","A",NA,NA,"B","B","A","B"
NA,"C","E","C","C","A",NA,"A",NA,"A","C","B","C","B",NA,"C","C",NA,"A","C",NA,"D","A",NA,"C","A","B","E","D","E","B","B","E","A","C","B","A"
"A","F","D","B","B","A","D","D","B","B","A","C","F","B",NA,"B","A","B","A",NA,"B","F","A","D","A","A","A",NA,"C",NA,"A",NA,NA,"A","B","B","B"
"A","F","D","A","C","C","C","A",NA,"C","D","A","F","B","B","C","C","B",NA,"E",NA,"B","A",NA,NA,"A","B","F","D","E","A",NA,NA,"A","B","D","B"
NA,"A","E","B","A","C","C","C","A","C",NA,"C","E","B","B","C","B",NA,"A",NA,"D","D","A",NA,"D",NA,"B","B","D","E","A",NA,"B","A","B","E","A"
"B","A","E","C","C","B",NA,"E","B","C","C","C",NA,"B",NA,"A","C","B",NA,"B",NA,"C","A",NA,"B",NA,"B","B","A","D","B","B","B","F","A","B","B"
NA,"A","B","A","B","B","B","B",NA,"B",NA,"C",NA,"B","A","C","C","A","B",NA,NA,"F","B","D",NA,"A","B","F","D","E","B","B","B","C","C","C","A"
"C","F","D","A","C","A","E","D","A","A","C","C","A","B","A","C","A","A","A","C","B","E","A",NA,"D","A","B",NA,"A","F","A",NA,NA,"A","B","A","B"
NA,"D","D","C","C","C","E","B","B","C","E","C","C","B","B",NA,"B",NA,NA,NA,NA,"D","A",NA,"C","A","B",NA,"A",NA,"A",NA,"E","F","B","A","B"
"A","A","B","C","B","A",NA,"A",NA,"C","A","C","F","B","A","B","B","B",NA,NA,"D","B","A","D","B","A","A","C","D","F","B","D","A","F","A","B","A"
"C","F","D","A","B","B","C","D","D","A","E","B",NA,"B","B","B","A","B","A","B",NA,"F","A","A","C","B","B","A","D","D","B","D","E","D","C","E","A"
"A","F","E","B","C","C",NA,"C","B","B","E","A","E","B",NA,NA,"C","B","A",NA,NA,"B","A",NA,"B",NA,"B","E","C","D","A",NA,NA,"F","B","A","B"
"B","F","D","B","C","B","D","C","F","A","B","C",NA,"B","B","B","B","B","A","D",NA,"D","A",NA,"C","A","B",NA,"B",NA,"A",NA,NA,"A","B","A","B"
"A","D","D","C","C","A",NA,"E","A","B","A","C",NA,"B","A","C","A","A","A","C","D","A","A","D","C","A","A","F","B","D","A",NA,NA,"F","A","B","B"
"B","F","B","B","B","B","C","A","A","B","E","C",NA,"B",NA,"B","C","B","A",NA,"B","E","A",NA,"B","B","B","E","A","E","A","B","E","D","C","C","B"
"C","F","E","B","B","C","C","C","A","A",NA,"A",NA,"B",NA,"B","B","B",NA,NA,"B","A","A","A","C","A","A","B","D",NA,"B","B","D","B","B","D","A"
"C","F","D","B","A","C",NA,"D","B","B","D","B","A","B","A","C","B","B","A",NA,"D","A","A","D","C","A","A",NA,"C",NA,"A",NA,NA,"A","A","B","B"
NA,"A","D","A","A","C","B","E","A","A","B","C","C","B","A",NA,"C",NA,"A","C",NA,"D","A","D","C","B","A","F","D","E","A",NA,"A","E","C","F","B"
"A","C","D","B","A","C",NA,"A",NA,"C","A","C","E","B","A",NA,"C",NA,"A","D",NA,"D","A","D","A","A","A",NA,"D","E","A",NA,"A","B","C","A","A"
"A","F","B","B","C","C","C","D","B","C","E","A","E","B",NA,"C","A","B","A",NA,"B","C","A","D","A","A","A","E","C","D","B",NA,NA,"B","C","B","A"
"B","F","D","A","A","A",NA,"C",NA,"B","D","A",NA,"B",NA,"B","A","B",NA,"C","B","F","A","D","D","A","A","E","D",NA,"A","D",NA,"F","B","A","B"
"A","F","E","B","B","B","E","D",NA,"B",NA,"A",NA,"B",NA,"B","C","A","A",NA,"B","B","A","C","A",NA,"A","A","D","E","B","B",NA,"B","B","B","B"
"B","F","D","A","B","B",NA,"D","B","A","F","B","C","B",NA,NA,"B","B","A","B",NA,"D","A","D",NA,"A","A",NA,"B",NA,"B","B","E","E","A","B","B"
"A","F","D","A","C","A","A","E","B","B","B","C",NA,"A","B",NA,"C","A","A","C","B","D","A","B",NA,"A","B",NA,"D","F","A","E","D","C","C","E","B"
"A","F","B","A","A","A","D","C",NA,"B","D","C",NA,"B",NA,"B","A","B","A",NA,"B","F","A",NA,"C","A","B","E","D","F","A","E",NA,"E","A","B","A"
"A","F","E","A","B","C",NA,"C",NA,"C","E","B",NA,"B",NA,"B","B","A","A","C","B","F","A","D",NA,"A","A","C","A","F","B","B","E","B","B","B","B"
"B","A","E","B","C","B","A","A","F","A",NA,"C","F","B","A",NA,"A",NA,NA,NA,"D","D","A","D","D","B","A","F","A","E","A",NA,"E","E","B","A","A"
"A","A","D","A","B","C","D","C","A","C","D","C","C","B",NA,"B","B","B","A",NA,"D","F","A","C",NA,NA,"B","F","A","F","B","B","A","E","B","F","B"
NA,"C","E","C","A","B","D","A",NA,"B","E","A","A","B","B","C","A","A",NA,NA,NA,"D","A",NA,"C","A","B","F","D","E","A","B",NA,"F","B","C","B"
"B","C","D","B","C","B","E","C",NA,"B",NA,"A","F","A","A","C","B","B",NA,"B","B","F","A","D","D","A","A",NA,"D","E","B","D","A","E","A","E","A"
NA,"F","E","B","B","C","C","E","B","B","D","C",NA,"B","B",NA,"C",NA,"A","E",NA,"D","A","D",NA,"A","B","F","B","D","A",NA,"D","D","C","B","A"
NA,"F","D","B","C","B","D","A",NA,"A","D","B","E","B",NA,NA,"A","A","A",NA,"C","D","A","D","C","A","A","B","D",NA,"B","B","B","F","C","D","A"
"B","F","D","C","B","B","D","C","A","A",NA,"A","A","B",NA,NA,"C","B",NA,"B","B","D","A","D","A","A","A",NA,"B","D","A","B",NA,"A","B","A","A"
"A","F","D","C","B","B","C","B",NA,"B","F","B","E","B","A","A","B","B","A",NA,"B","F","A","A",NA,"A","A","E","D",NA,"B","E","B","A","A","B","A"
"B","F","E","B","C","B","A","B","D","C","A","A",NA,"B",NA,"B","A",NA,NA,"E","D","D","A",NA,"D","B","B","E","C","B","B","E",NA,"D","B","E","B"
NA,"F","D","B","B","C","C","D","A","A","A","A","A","A","B",NA,"C",NA,NA,"C","B","D","A","D","C","A","A","E","D","D","A",NA,"D","B","B","F","A"
"C","A","D","B","B","C",NA,"E","D","B","D","C","C","B",NA,"C","A","A","A",NA,"D","A","A","D","C","A","B",NA,"B","D","B","B","E","F","A","D","B"
"B","E","D","B","A","C","E","E","A","C",NA,"C","F","B",NA,"C","B","B","A",NA,"B","B","A","D",NA,"A","A",NA,"C",NA,"B","B","A","A","C","C","A"
"A","F","D","C","B","C","A","D","A","A","C","C",NA,"B","A","B","B","A",NA,NA,"D","E","A",NA,"A","A","B",NA,"B","B","A",NA,"E","E","C","B","A"
"B","F","D","B","A","A","C","C","A","A","B","C","F","A","A","B","A","A","A","E","B","C","A","D","C",NA,"A","B","C","D","A","B",NA,"B","B","E","B"
"B","F","D","A","B","B","D","D",NA,"A","D","B","C","B",NA,"B","A","A","A",NA,"B","C","A",NA,NA,"B","B",NA,"D","D","A",NA,"E","F","C","D","B"
"A","F","D","C","B","B",NA,"D","A","B","C","A",NA,"B",NA,NA,"B",NA,NA,NA,"B","C","A",NA,"A","A","B",NA,"D",NA,"A",NA,NA,"C","A","C","B"
"B","E","E","C","B","B","C","D","C","C","D","A",NA,"B","A","B","B","B",NA,NA,NA,"B","A","D","A","A","B","E","A",NA,"B","C","A","B","A","E","A"
"A","F","B","B","C","C","D","A","A","A",NA,"A","E","B","A","C","B","A","A",NA,"B","C","A","C","B","A","A",NA,"B",NA,"B","B","E","D","B","A","B"
"B","A","D","C","C","A","D","A","B","A","C","C","F","B","B",NA,"C",NA,"A",NA,"B","D","A","D","B","B","A",NA,"D","D","A",NA,NA,"F","B","A","B"
"B","F","D","A","C","B","C","C","B","B","A","A","A","B",NA,"C","A",NA,"A","B","D","A","A","D",NA,"A","A",NA,"D","B","B","B","D","D","A","C","A"
"C","F","B","A","B","C","C","D",NA,"A",NA,"A","A","B",NA,NA,"B",NA,NA,NA,"B","D","A",NA,"C","A","B","E","D",NA,"B","E","A","D","B","B","B"
NA,"A","E","A","B","B","D","A","B","C",NA,"A","A","B","B","C","A","A","A",NA,"B","B","A",NA,NA,"A","A","F","C","D","B","B","E","B","B","B","A"
