"WYwfp","vhQvJ","tLOHX","RgmKY","FAIJt","uEpzT","QGdLi","Yeylk","QCQtq","EfFHC","INUSU","HKwVn","hBMen","bjoNn","eVSpV","SYltm","Psrrk","aiiZa","wgriv","RcBhT","hgaQp","UtoEB","LmjIf","EaQAS","hkpyF","IOHMH","OMcWd","AJvLt","Lctit","xISFX","LmZyP","kJviW","kgMLV","HtoiS","osOKb","WtGYX","LzfyG","OeKSO","cFJIc","RqRVT","DYMQB","zgjGa","iAdij","cEpaJ","UIirr","gFyTi","pvPbb","PDaYY","UPHgP"
"B","C","A","D","C","A","B",NA,"A","B","C","C",NA,"A",NA,"B","A","E","A","C","B","A","C","A",NA,"C","C",NA,"A",NA,"D","B","D",NA,"E","D","C","F","B","D","A","E","A","B","D","B","B","B","A"
"A","B","A",NA,"B","A","D",NA,"A","B","A","C",NA,"E","B","A","C","A","A","D","A","A","B","B","B","C","E","C","B","A","B","C","D","A",NA,"B",NA,"A","A","D","B","E","C","E","D","A","D",NA,"A"
"B","C","B","B","A","C","D","B","D","B","A","C",NA,"C","D","B","C","E","E","C","F","B","D","A","E","B","B","C","C","D","D","F","C","C",NA,"D",NA,NA,"E",NA,"D","D","C","E","D","B","C","D","A"
"A","D","A",NA,"B","B","A","E","A",NA,"C","B",NA,NA,"C","A","D","E","B","B","A","B","B","B","B","B","B","C","A","D","F","F","C",NA,"A","B","A","F","D","A","A","D","C","D","D","A","B",NA,"A"
"C",NA,"A",NA,"B","A","D","E","B",NA,"C","A","C","D","B","A","D","B","F","A","A","A","B","A",NA,"F","C","A","A","A","D","B","B",NA,"B","A",NA,NA,"A","D",NA,"D","A","F","D","A","D","A","C"
"A",NA,"B",NA,"B","A","D","F","A","B","A","C",NA,"A","A","B","B","A",NA,"B","C","A","B","A","F","F","B","B","B","B","B","E","B","C","F","D",NA,NA,"E",NA,NA,"E","E","E","D","B",NA,NA,"A"
"A",NA,"A","B","B","C","D","E","A","B","A","C","B",NA,"C","A","A","A","B","C","B","B","A","B","D","D","B","B","A","A","A","E","B","A","D",NA,NA,"A","D","D","E","C","B","B","E","A","B","F","C"
"B","D","A","B","C","A","A","C","A","A",NA,"C","A",NA,"A","B","A","A","A","B","A","A","C","A","F","F","E",NA,"C","D","C","D","B",NA,NA,"A","A","F","E","D","A","D","E","D","D","B","A","B","A"
"B",NA,"A","D","B","B","A",NA,"A",NA,"A","E","B","B","A","A","C","E","C","D","F","A","A","B","D","C","B","C","D","D","A","B","A",NA,NA,NA,"A","F","A","B","A","E","C","A","E","B",NA,NA,NA
"C",NA,"A","C","B","C","A","A","A",NA,NA,"B","A","B","C","A","D","A","E","B","F","B","A","A","C","D","D","B","D","A","B","E","A","C","E","A","D","E","A","C","E","E","A","D","D","B","A","C","C"
"A",NA,"A",NA,"B","C","D","E","A","B","A",NA,"B","A","C","A","A","A","E","D","A","A","B","A","D","B","B","C","A","D","C","F","A","C","E","E",NA,"C","A","C","D","E","F","F","E","B","C",NA,"C"
"A","A","B","A","A","C","D","F","A","A","A","C","A","A","D","A","B","A",NA,"B","C","A","C","A",NA,"E","C","B","A",NA,"C","C","B","A",NA,NA,"C",NA,"B","C","B","E","E","F","D","A","C","F","A"
"B","D","A","B","B","C","A",NA,"A","C","A",NA,"B","A","B","B","D","E","E","A","F","B","A","A","D","D","D","C","D","D","A","E","A","A",NA,"D","A","C","A","D","E","D","C","B","D","B",NA,"B","C"
"C","D","B","A","A","C","D","B","A","C","A","A","A","B","A","A","B","E","A","B","D","B","A","A","F","A","C","A","B",NA,"D","B","C","E","B","D",NA,"E","E",NA,"A","D","F","C","D","B","A","C",NA
"C","C","B","D","B","C","A",NA,"A","A","A","C","B","A","E","A","A","E","A","B","C","B","D","A","E","B","C",NA,"D","C","D","C","D","A",NA,"A","D","D","A","D",NA,"E","C","D","E","A","C",NA,"A"
"B","C","A","C","B","A","D",NA,"A","C",NA,NA,"C","B","A","A","D","B",NA,"D","C","A","D","B","F","F",NA,"C","A",NA,"C","F","A","A","E","F",NA,NA,"C","D","E","E","A","A","D","B","D","A","C"
NA,"D","B","D","C","C","A",NA,"A","B","B","C","A","E","B","B","D","B",NA,"C","C","B","A","A","C","A","D","B","A","C","E","C","A","A",NA,"B",NA,"A","A","D","E","E","C","E","D","B","C","E","A"
"A",NA,"A","C","B","C","A","D","A","B","A","C",NA,"B","E","B","A","C","E","A","C","A","C","A","B","E","B",NA,"D",NA,"B","F","D",NA,"A","B","A","F","A","A",NA,"E","E","B","D","B","B","C","A"
"C","B","A","B","B","C","A","E","A","C","A","A","B","A","B","A","D","E","D","A","F","B","D","A","B","D","D","C","D","D","B","D","D","A",NA,"A","B","E","E","D","C","D","C","C","D","B","D","B","A"
"B","D","B","B","A","A","D","F","A","A","A","C",NA,"C","C","A","B","A",NA,"D","C","B","D","B",NA,"B","B",NA,"A","A","C","A","D","A","A","C",NA,"F","A","D","A","D","A","D","E","A","D","D","C"
"B","D","A","C","B","C","A","F","D",NA,"B","C",NA,"A","B","B","A","E","F","D","D","B","B","A","C","C","E",NA,"C",NA,"D","A","C","A","D","A","C","E","E",NA,NA,"B","E","C","D","B",NA,"F","C"
NA,"C","A","D","C","A","A",NA,"A",NA,"C","B",NA,"C","C","A","D","A",NA,"B","C","A",NA,"B",NA,"C","E","C","D","C","E","E","C",NA,NA,NA,NA,"F","A",NA,"A","D","C","D","D","A","A",NA,"C"
"B","B","A","C","C","B","A","F","A",NA,"B","B","B","C",NA,"B","D","E","A","B","A","A",NA,"A","C","E","C","C","B",NA,"F","A","C","C","E","D","B",NA,"B",NA,"A","E","C","C","E","B","D","E","A"
"A","D","A","B","A","A","C","E","A",NA,"C","A","A","A",NA,"A","B","C","E","A","B","A","A","A","E","B","D","C","A","D","C","F","B",NA,"A",NA,"C","D","A","A","A","B","E","F","D","B","D","B","A"
"B","C","A","D","C","A","D","E","A",NA,NA,"B","C","B","E","A","D","E",NA,"B","B","A","B","A",NA,"B",NA,"B","D",NA,"D","E","A","E","A","F",NA,NA,"E",NA,NA,"D","C","D","D","A","D","D","C"
NA,"D","A",NA,"C","A","B","A","B",NA,"A",NA,NA,"A","C","B","D","E","B","D","D","A","B","B","C","A","E","B","C","B","F","C","C",NA,"C",NA,"A","E","D","D",NA,"E","A","F","E","B","D",NA,"A"
"B","A","A","D","A","C","A","C","A","B","B",NA,"B","D","A","A","B","E",NA,"B","F","A",NA,"B","B","D","B","A","A","D","D","C","C","E","B","D",NA,"F","B","A","C","B","A","C","D","B","C",NA,"A"
NA,"C","A","A","C","A","D","F","A",NA,"C","C","C",NA,"B","A","A","C",NA,"D","C","A",NA,"A","F","E","D",NA,"A","C","E","F","B",NA,NA,NA,NA,NA,"A",NA,"A","A","C","D","D","B","B","F","A"
"C","C","B","C","A","A","A",NA,"D","A","C","D","C","C",NA,"A","D","E",NA,"D","C","B","C","A","C","B","D","C","D","B","E","B","B",NA,NA,"D","A","F","B","C","B","E","C","E","A","B","B","E",NA
"A","B","A","D","C","A","C","A","A","B","B","B",NA,"B","E","B","A","A",NA,"A","C","A","D","B",NA,"D","D",NA,"B","A","C","A","C","A",NA,"F","D","D","E","A","A","E","C","E","E","A",NA,"A","C"
"B","A","A","D","B","A","D","C","A",NA,"C","B","A","F",NA,"A","A","C","B","B","C","A","B","A",NA,"A",NA,NA,"A","D","A","D","D","E",NA,"E",NA,"F","A","D",NA,"E","C","B","D","B","D","C","C"
"B",NA,"A",NA,"C","B","D","F","B",NA,"A","C",NA,"A",NA,"A","B","B","E","B","F","A","B","A","A","A",NA,"B","A",NA,"A","E","D","E",NA,NA,"C",NA,"A","C",NA,"E","C","E","A","A","B","B","A"
"B","B","A","B","B","A","B","F","D","A","A","C","A","C","A","B","D","E","A","B","A","A","C","A","A","F","F","A","A",NA,"A","F","D","E","F","B","C",NA,"B","D","A","A","F","B","D","B","D","F","C"
"C","D","A","A","C","B","A","A","A",NA,"C","C","B","A",NA,"A","D","E",NA,"A","C","A",NA,"A","F","F","D","A","A","B","E","C","D",NA,"D",NA,"B","F","D","D","E","A","E","B","D","A","B","B",NA
"A","D","A","C","B","A","D",NA,"A",NA,"B",NA,"B","B","E","A","B","A","B","C","C","A","D","B",NA,"A","B","A","A","C","B","B","C","E",NA,NA,NA,NA,"A","A","A","D","B","E","D","B","D","A",NA
"C","B","A",NA,"A","B","D","E","A","C","C","B","A",NA,NA,"A","A","A","A","D","F","A",NA,"A","A","B",NA,NA,"B","C","E","B","D",NA,"B",NA,"B","E","A","A",NA,"D","A","E","D","B","B","A",NA
"C",NA,"A",NA,"B","A","A","D","A","C","C",NA,NA,"A",NA,"A","B","E","F","D","B","B","B","A",NA,"D","F","B","C","D","C","B","A",NA,NA,"D",NA,"C","D",NA,"A","D","C","D","D","B",NA,NA,NA
NA,"C","A","C","A","C","B","F","B","C",NA,"C","B",NA,"D","A","B","B",NA,"B","A","A",NA,"A","E","E","B","A","A","D","E","E","C","A","E","D","D","F","B","A","A","D","D","A","D","A","D","F","A"
NA,"D","A",NA,"C","C","D","D","A",NA,"B","A","A","B","A","A","D","A",NA,"A","F","A","B","A","F","A","C","A","D",NA,"C","D","D",NA,"D","D",NA,NA,"A","B","B","D","A","B","D","B","A",NA,"A"
"B","A","A","B","B","C","D","E","A",NA,"B","A","A",NA,"A","A","A","E",NA,"D","C","B","D","B","F","F","C",NA,"B","C","D","E","C","C","E","B",NA,NA,"E","A","B","C","A","B","D","B","B","E","C"
"B",NA,"A","D","B","A","D",NA,"A",NA,"B",NA,"A","B","C","A","C","B","E","B","F","A",NA,"A",NA,"B","B","B","B","C","B","F","B","A",NA,"F",NA,"F","A","C","B","E","C","B","E","B","D","D","A"
"B",NA,"A","C","B","A","D","F","A","C",NA,NA,"C",NA,"E","B","A","B","F","C","A","A","A","B","D","A","E",NA,"B","D","D","A","D","C",NA,"B",NA,NA,"D","C","B","D","A","D","E","B","A","B","C"
NA,"C","B","B","B","C","B","E","A","C","C","C","A","D",NA,"A","D","E","E","D","E","A",NA,"A","B","E",NA,"C","C","C","E","F","C",NA,"A",NA,"A","F","D","A","B","D","C","A","D","B","D","A","A"
"C","B","A","A","A","A","B","A","A",NA,"C",NA,"A","E","A","B","B","E",NA,"C","C","B","D","A",NA,"E","B",NA,"B",NA,"C","F","C",NA,"E","D","C","B","B","C","E","A","F","A","D","B",NA,"F","A"
NA,"B","A","C","A","C","A","A","D",NA,NA,NA,"A","D","E","A","C","B",NA,"B","C","A",NA,"A","F","C","D","C","A","D","E","A","D","A","D","A","A","F","A","D","A","B","E","C","D","B","D","A","C"
NA,"A","A","B","B","C","D",NA,"D",NA,NA,"D","A",NA,"C","A","A","E","F","D","E","A",NA,"A","C","D",NA,NA,"D","D","E","D","D","A","F",NA,NA,NA,"D","A","B","A","C","D","D","A",NA,"B","A"
"B","D","A",NA,"C","C","D","E","D",NA,NA,"E",NA,"B",NA,"B","A","E",NA,"C","C","B",NA,"B","F","A","C","C","B","D","D","A","C",NA,"B","A",NA,"F","A","B","B","A","A","A","D","B","A",NA,"A"
"A","C","B","C","C","B","D","F","B","A","C","E","A","E",NA,"A","D","A","E","D","F","B","A","B","E","E","D","B","D",NA,"A","F","B","C","D",NA,"B","A","B",NA,"E","A","E","A","D","B",NA,"E","A"
"B","D","A","C","B","B","B",NA,"A",NA,"B","C","B","B","E","B","A","B","F","C","A","A","A","B","E","C",NA,NA,"D","A","D","F","D","A",NA,"A","A","E","C","A","E","A","C","F","D","A","D","D","A"
NA,NA,"A","B","B","B","D",NA,"D","C","C","E","B","A",NA,"A","A","A","B","A","B","A","A","A","A","F",NA,NA,"B","C","C","D","D",NA,"F","D",NA,NA,"E",NA,"E","D","A","B","E","A","B","B","C"
NA,"B","A","D","B","C","A","C","A",NA,"A",NA,"B","B","A","A","C","E","D","D","F","A","D","B","C","D",NA,"C","C","C","C","C","B","A",NA,"B","D","E","B","D","A","D","C","E","E","B","D","D","A"
"C","B","B","C","A","A","B","D","A","A",NA,NA,"C",NA,"C","B","C","B","A","D","E","A",NA,"A",NA,"D",NA,"A","A","C","E","A","C",NA,"D","C","B","F","A","D","E","B","A","D","D","B",NA,"F","C"
"A","B","A",NA,"A","A","A","A","A",NA,"A","B","A","E","C","A","C","E","B","D","E","B","D","A","C","D","B","B","A",NA,"B","D","A","C","C",NA,"D","F","D","B","A","D","E","D","D","A","D",NA,"C"
"C","B","B","D","B","C","A","D","D","C","B","A","A","E",NA,"B","D","E","A","D","C","B","A","A","D","F",NA,"C","D","D","A","B","A","E","B",NA,"B","E","A",NA,"C","D","E","C","D","B",NA,"C","C"
"A","D","A","A","A","B","A","E","A","A","B","A","B","B","C","A","B","A","C","D","D","B",NA,"A","B","B","B","B","A","C","D","F","C","C","E",NA,"D","A","E","A","E","A","D","F","E","B","D","D","A"
"C",NA,"A","A","B","B","A",NA,"A",NA,"C","C","A","E","E","A","C","B","B","A","B","A","C","A","B","C",NA,NA,"A","A","B","D","A",NA,NA,"D","B","C","A","D","E","A","C","A","D","A","B","B","A"
"B","D","A","B","B","C","B","E","A",NA,"C","C","B","D",NA,"A","B","E",NA,"D","C","B","A","A","C","D","C","C","B","A","D","F","D",NA,"B","D","A",NA,"E",NA,NA,"C","E","D","D","A",NA,"F","A"
"C","A","B","C","A","A","A","D","D","A","C","C","C","A",NA,"B","B","E",NA,"B","C","B","D","A",NA,"C","B","C","A","C","B","F","B",NA,"C",NA,"D","F","A","D","A","E","A","B","D","B","C","F","A"
"C","C","A","C","A","A","A",NA,"D",NA,"A",NA,"A","E","B","A","A","E","B","D","C","A","C","A","E","A","C",NA,"C","D","F","B","A","C",NA,"D","D","A","E","C","A","B","C","E","D","A","C","E","A"
NA,NA,"A","B","B","A","A","E","B",NA,NA,"B","A","A","D","B","D","A",NA,"B","C","A","D","B",NA,"B","D","A","B","A","E","D","C","C","B","F","B","F","B","A","B","E","A","D","D","B","D",NA,"C"
"C",NA,"A","C","B","B","D","F","A",NA,"B","E",NA,"D","B","A","D","A","D","D","F","B","B","A","E","F",NA,"A","C",NA,"B","D","C","C","B","A","C",NA,"C",NA,NA,"E","B","D","D","B","C",NA,"A"
"A","C","A","C","C","A","B","F","A",NA,"A","C","C","B","E","B","A","A",NA,"B","C","A","A","A",NA,"E",NA,"A","B",NA,"B","F","B","C",NA,NA,"C","F","E",NA,"B","A","C","E","D","A","A","F","A"
"A",NA,"B","D","B","C","A",NA,"A","B","B","E","A","A","E","B","C","A","D","D","B","B","C","A","E","F","E","C","B","A","A","C","D","C","F","D","B","F","C","A","A","D","C","C","D","A","B","D","A"
"B","C","A","C","B","A","D",NA,"B",NA,"C","E","A","A",NA,"A","B","A",NA,"D","C","A",NA,"A",NA,"F","D","B","D","D","F","F","C",NA,"F","D",NA,NA,"A","A","D","E","C","E","E","B","C","B","C"
"B","A","A","C","A","C","D","E","B",NA,"C","C","A","B","C","A","B","E","A","D","A","B","C","B",NA,"D","D","C","D","C","A","A","C","C",NA,NA,"B","F","A","A","A","D","C","C","E","B","D","E",NA
"B",NA,"A","A","B","A","D","D","B","C","B","B","A",NA,"E","A","A","B","D","B","A","A","A","A",NA,"C",NA,"C","C","A","F","C","D","A",NA,NA,NA,NA,"B",NA,"C","D","C","F","D","B","B",NA,"A"
"B",NA,"B",NA,"B","B","A","F","B","B","B","C","A",NA,"B","A","C","E","A","C","C","B","C","A","A","E","B",NA,"D","D","F","D","B","C",NA,"F",NA,"F","C","C","E","A","C","E","D","B","D","F","A"
"C",NA,"B",NA,"B","A","D","C","A","C","A","C",NA,"C","B","A","D","A","A","D","A","A",NA,"A",NA,"C",NA,"C","A","A","E","D","B","C","E",NA,NA,NA,"B",NA,NA,"D","A","C","D","A","C",NA,"A"
"A","D","A",NA,"A","B","B","F","A",NA,"B",NA,NA,NA,"D","A","C","E",NA,"D","C","A","B","A","D","B","B","C","B","C","B","B","A","A","A","B","C","E","A","C",NA,"A","A","F","D","B",NA,NA,"A"
"A",NA,"A","C","B","A","B",NA,"A","C","A","C","C","A","C","A","A","A","E","C","F","A","A","A","F","F","A",NA,"C","C","F","A","B","C","A","A","D",NA,"D","C","E","B","C","E","D","B",NA,NA,"C"
NA,"B","B","B","B","A","A","E","A","B","A","C","A","B","A","B","C","E","E","D","F","A","C","A",NA,"D","B","B","A","C","C","B","D","D","B","D","D","F","B","A","A","E","F","A","E","B","B","D","A"
"B","D","A","B","C","C","D","E","A",NA,"A","C","B","D","E","B","A","A","E","C","F","A","A","A","B","B","A",NA,"B","A","B","B","C","A","D",NA,NA,NA,"B","B","E","E","E","D","D","A","B","B","A"
"B","A","A","B","A","A","A",NA,"A",NA,"C","C","C","D",NA,"B","B","E","C","B","C","A","C","B",NA,"F","B","C","B","D","D","A","C",NA,NA,"B","A","E","A","D","E","A","C","C","E","B","D","C","C"
"C","C","A","C","B","B","D","F","D",NA,"C",NA,"B","D",NA,"B","D","E","E","D","A","B","A","A","D","C","F","C","B","A","A","F","A","E","D","D",NA,NA,"E","D","A","D","E","D","D","A",NA,"B","A"
"B","B","A","B","B","C","B","B","A","C","C",NA,NA,"E","A","B","C","A","B","C","F","B",NA,"A","C","E",NA,"C","D","A","F","D","D",NA,"F","E","C","C","D","A","A","B","B","F","D","A","B","E","A"
NA,"B","A","D","C","B","D","C","B",NA,"B","A","B","B","B","B","A","E","A","D","A","A",NA,"B","F","C","C",NA,"C",NA,"E","D","C","C","B","D",NA,"F","A","B","E","E","A","E","E","B","C","D","A"
"B",NA,"A","B","B","A","A",NA,"A",NA,"C","C","C","B",NA,"A","A","B","D","A","D","A","A","A",NA,"C","E",NA,"B","B","D","A","A",NA,"E","C","A","F","B","B","A","D","C","A","D","B",NA,"A","A"
"B","C","A","D","A","C","A","E","B",NA,"B","C","A","A","E","B","B","A","B","D","D","A","C","A","C","C","C","B","D","D","F","E","D",NA,"B","A","D","E","C","A","A","E","A","C","D","B",NA,"B",NA
NA,NA,"A","C","C","A","D",NA,"A",NA,"A","C",NA,NA,"B","A","D","A","F","D","A","B",NA,"A","C","B",NA,"C","A","A","E","C","A","C","F","A","A",NA,"A","B",NA,"E","C","C","D","A","B",NA,"A"
"A","C","A","A","C","C","A",NA,"B",NA,NA,"B",NA,"A","D","A","B","E","E","D","C","B","B","A","B","B",NA,"C","A","B","E","E","B",NA,"A","C",NA,"E","A","C",NA,"A","C","D","D","A","B",NA,"A"
"B",NA,"B","D","B","A","B","D","A","A",NA,"B","A","B","B","A","D","E","E","B","F","A",NA,"A",NA,"C","D","C","A",NA,"B","B","A","C","B","A",NA,"F","A","B","E","D","E","D","D","A","D","C",NA
"A","C","B",NA,"B","B","E","F","A","C","B",NA,NA,"B","C","B","A","E","B","C","C","B","B","A","D","E","D",NA,"A","B","A","C","B",NA,"C",NA,"A",NA,"A","C","E","B","A","F","D","B","A","A","C"
"B","D","A","B","A","C","D","E","A",NA,NA,NA,"B","B","D","B","B","E",NA,"A","A","A","A","A","E","B",NA,"A","B","D","C","D","B","A","E","C",NA,"F","A","C","B","D","A","D","E","B","A","E","C"
NA,"D","A","C","B","C","D","D","A",NA,"C",NA,"B",NA,"E","A","D","E",NA,"C","C","A",NA,"A","F","B","E","C","C","B","E","F","B",NA,"B","A",NA,NA,"B","C","A","E","C","E","D","B","B","E","A"
"A","A","B",NA,"C","B","B",NA,"B","C","C","B",NA,"B",NA,"A","D","E","E","A","A","A","B","A","C","F",NA,"A","D","C","E","E","A",NA,"F",NA,"A","A","A","B",NA,"D","C","E","D","B","A",NA,"C"
"B","D","A","C","B","B","A","A","B","B","A","C","B",NA,"C","B","A","B","C","B","C","B",NA,"B","E","E","E",NA,"B","D","C","F","C","A","E","F","A","F","D","D","B","A","D","D","E","A","B","F","A"
NA,NA,"B","C","B","A","D","D","B","C","A","C","A","B","E","A","D","E","F","C","D","A",NA,"A",NA,"C",NA,"C","A","D","E","B","A","C","E","C",NA,"F","A",NA,NA,"D","B","E","D","A",NA,"A","A"
"A","B","B",NA,"C","A","A",NA,"A","C","B","C",NA,"B","C","A","D","E",NA,"A","C","B","B","A","A","B",NA,"C","A",NA,"A","B","D","A","D","A",NA,"A","A","D",NA,"E","C","F","D","B","B","F",NA
"C","A","A","B","A","B","D",NA,"A",NA,"C","C","B",NA,"E","A","B","A",NA,"D","C","A","C","A","B","E","F","B","C","D","B","E","A",NA,NA,"F","B",NA,"D","C","B","E","C","C","D","B","B","E","A"
NA,"A","B",NA,"C","A","A","F","B",NA,NA,"C","A",NA,"E","A","A","A","A","D","C","A","B","A",NA,"A","F",NA,"D","C","B","D","A","E","B","E","A","E","A","C",NA,"A","E","D","D","B","D","A","C"
"C","A","A","A","C","C","E",NA,"A",NA,"A","B","A","A","B","B","A","E","E","A","F","A","C","B","A","F",NA,"C","B",NA,"F","F","D","C","F","A","A","E","B","B","A","E","C","C","D","B",NA,"B","A"
"C","B","B","B","A","C","C","F","B","C","C",NA,"A","A",NA,"A","D","B","F","A","E","A","B","A","D","D",NA,"C","C","D","E","B","D",NA,NA,NA,"A","F","D","D","B","E","A","E","B","B",NA,NA,NA
"A","B","A","D","B","A","D",NA,"A",NA,NA,NA,NA,"E","E","B","D","A",NA,"C","C","A","C","B","D","E","C","B","D","A","D","C","D",NA,NA,"F",NA,NA,"E",NA,"A","A","C","D","D","A",NA,"E","A"
"B","B","A","C","B","A","D",NA,"A","C","A",NA,"C","B","A","A","A","E","E","C","C","A","A","B","D","F",NA,NA,"D",NA,"D","C","B","C",NA,"D",NA,NA,"B","A","D","E","C","C","D","B",NA,"A","A"
"C","C","A","C","A","A","D",NA,"A","B","B","B","C",NA,"C","A","B","A",NA,"C","C","A","A","B",NA,"D","D","B","C","C","C","F","D","A",NA,"A",NA,NA,"B",NA,"D","A","C","B","D","A","B",NA,"A"
"B","B","A","D","A","A","B","F","A",NA,NA,"C","A",NA,NA,"A","C","A","B","B","D","A",NA,"A",NA,"C",NA,NA,"A","A","F","A","C","E","F","A","B","F","A",NA,"B","D","A","D","D","A","B",NA,"A"
"B",NA,"B","C","B","B","A","D","A","C","A","C","B","A","B","A","D","E","E","A","E","A","A","A","E","A","D","C","B","B","F","F","B","E","D","C",NA,"F","E","A","C","E","E","A","D","B","D","B","A"
NA,NA,"B","B","B","A","B","B","D","B","B",NA,NA,"D","D","A","A","E","A","B","F","A","D","A","D","D","D",NA,"D","A","F","F","A","C","B","F","A","F","A","B","A","E","F","E","D","A",NA,"E","A"
NA,"D","A","C","A","C","B",NA,"B",NA,NA,"C",NA,"A","A","B","B","B",NA,"B","A","A",NA,"A","E","F","D","B","D","C","E","B","D","C","C","D","D","F","B",NA,"A","D","C","D","D","B","D","E",NA
NA,"B","B","D","A","A","A","F","D","B","A","B","A","A","B","A","B","B","B","D","C","A","C","B",NA,"A","B","A","A","A","C","F","D","C","F","B","C","E","B",NA,"E","A","C","C","A","A","B","B","A"
"B",NA,"B","B","B","C","D","E","A","C",NA,"C","B",NA,"B","B","D","E","B","D","D","B",NA,"A","C","E",NA,"C","B","B","C","F","A","C",NA,"D",NA,NA,"E","B","A","D","C","D","D","A","B","B","A"
"A","C","A","A","A","A","D","D","A",NA,NA,"B",NA,NA,"B","A","A","A",NA,"B","C","B","D","A",NA,"A","B",NA,"B","D","B","F","B","E","E","A",NA,NA,"E","C",NA,"B","C","C","D","A","B","C","A"
"C","D","A",NA,"A","B","A","E","B",NA,"B","C","B","B","B","B","B","A","E","C","F","A","A","A","F","B","C","C","D",NA,"B","B","B","C","E","C","C","E","E","A","E","E","B","F","D","B","D","A",NA
"A","A","A","C","A","A","D","F","A",NA,"C","A","A","C",NA,"A","B","E",NA,"C","C","A","C","A",NA,"F",NA,"A","A","D","B","F","A",NA,NA,"F",NA,NA,"D",NA,"E","B","C","B","A","B",NA,"D","A"
"C",NA,"B","B","B","C","D","E","A","A","C",NA,"B",NA,NA,"B","D","A",NA,"D","E","A",NA,"B","D","B","C","C","D","B","E","D","A",NA,NA,"B",NA,NA,"C","D","A","E","C","E","D","A",NA,"D","A"
NA,"A","A","C","C","C","D",NA,"A",NA,"A","C","B","B","B","B","D","A","F","A","B","B","B","B",NA,"B",NA,"C","C","D","D","A","A","A",NA,"F",NA,"F","B","C",NA,"E","C","E","D","B","B","A","C"
"C","D","A","C","A","A","D","D","A",NA,"B","C","A","D","B","A","B","A",NA,"B","E","A","C","A",NA,"C","A","C","B","A","C","D","C",NA,"B","A",NA,NA,"C","A","A","E","F","D","D","A","C","F","A"
"A","C","A","D","B","C","D","F","A","C","C","C","A","A",NA,"A","B","E","C","C","C","A","D","A","E","D",NA,"B","C","C","B","B","B",NA,"D","A","C",NA,"C","C","A","E","E","A","D","A","C","B",NA
NA,"D","A",NA,"A","A","D","B","D",NA,NA,"A","A","B","C","A","B","B","A","D","F","A","B","A","C","A","C","C","D","C","F","D","C","C",NA,NA,NA,"F","D","A",NA,"D","C","E","D","B","D",NA,"C"
NA,"A","B","D","B","A","A",NA,"A",NA,"A","C","A","E","E","B","A","A","F","A","E","B","C","A","A","F","C","B","C",NA,"D","D","B","A",NA,"B","C","B","E","B","E","D","C","C","D","A","C","B","A"
NA,"B","A","C","A","A","D",NA,"D",NA,"A","A",NA,"E","A","A","B","A","B","C","E","A","C","A","C","F","B","B","A","B","A","B","C","C",NA,"B",NA,NA,"B","A","D","D","C","E","D","B",NA,"B","A"
"A",NA,"A","A","B","A","D","F","A","C","A","C",NA,NA,"C","A","B","A","E","D","F","A","B","A","F","F",NA,"C","D","D","D","F","A","A","D",NA,NA,NA,"A","D",NA,"E","F","A","D","B","B",NA,"A"
"C","B","A","C","B","B","D","F","A",NA,"A","A",NA,"E","C","A","A","B",NA,"B","C","A","C","A","A","E","D",NA,"C","A","B","F","A","C",NA,NA,NA,"C","D","C","A","D","C","D","D","A","B","E",NA
"C","C","B",NA,"C","B","A",NA,"A","B","A","B",NA,"E","C","A","D","B","F","B","D","B",NA,"B","F","B","B","A","C","A","B","F","B","A","B",NA,"C","E","B","C","A","C","C","E","D","A",NA,NA,"C"
"A",NA,"A","C","B","A","A","B","A",NA,"C","C","A","D","D","A","C","C","F","A","A","A","D","A",NA,"A",NA,NA,"D",NA,"C","F","C","A","E","A",NA,"B","A","C",NA,"D","A","F","D","B","C","E","C"
"A",NA,"A","B","B","A","A",NA,"B","A","C","A","A","A",NA,"B","D","A","E","B","A","A","C","B","B","C",NA,NA,"C","D","B","A","D","A","B","C","A","E","D","A","A","E","C","C","D","B","C","B","A"
NA,"C","A",NA,"B","B","A","A","A",NA,"A","C",NA,"C","E","B","C","A","B","C","C","A","B","A","C","A","F",NA,"B",NA,"B","D","D","C",NA,"D","C","F","B","A","A","B","C","D","D","A","C",NA,"A"
"B","B","A","B","C","A","C",NA,"A","B","A","C","A","A","B","B","D","E","E","C","F","A","A","A",NA,"B","B","B","B","A","D","B","C","E","A","A","A","D","E","D","E","E","C","C","D","A","B","B",NA
"A",NA,"A",NA,"B","C","D","E","B",NA,NA,"C",NA,NA,NA,"A","C","B",NA,"A","C","B","B","B","C","B","D",NA,"B","C","D","C","C","C","A","E",NA,"E","B",NA,"A","D","E","D","D","B","D",NA,"A"
NA,"C","A","D","A","C","D","F","A",NA,"C","B","A","A",NA,"B","C","E","F","A","B","A",NA,"A","A","A","C","A","D","A","E","B","B",NA,"B","A",NA,NA,"D","C","C","B","E","E","D","A","D",NA,NA
NA,NA,"A","D","B","B","A","E","A",NA,"B",NA,"B","B","B","B","A","A","F","A","E","A","B","B","D","B","D",NA,"C",NA,"E","D","B","E","E","F","C",NA,"D","C","A","A","C","A","D","B",NA,NA,"A"
